iteration,Hawk,Dove,Retaliator
0,834,833,833
1,924,785,791
2,952,786,762
3,1001,757,742
4,1033,748,719
5,1055,739,706
6,1102,705,693
7,1136,690,674
8,1175,675,650
9,1191,665,644
10,1220,652,628
11,1264,637,599
12,1283,636,581
13,1299,634,567
14,1341,622,537
15,1350,620,530
16,1373,609,518
17,1386,604,510
18,1422,589,489
19,1439,563,498
20,1464,549,487
21,1483,535,482
22,1520,518,462
23,1555,500,445
24,1583,472,445
25,1597,461,442
26,1617,446,437
27,1635,440,425
28,1641,431,428
29,1644,429,427
30,1683,400,417
31,1698,396,406
32,1733,378,389
33,1760,352,388
34,1786,353,361
35,1808,346,346
36,1833,327,340
37,1853,307,340
38,1854,298,348
39,1881,272,347
40,1905,260,335
41,1912,254,334
42,1929,242,329
43,1943,235,322
44,1953,239,308
45,1960,227,313
46,1975,218,307
47,1987,211,302
48,1998,211,291
49,2010,210,280
50,2025,205,270
51,2041,201,258
52,2055,201,244
53,2065,184,251
54,2069,189,242
55,2082,178,240
56,2094,177,229
57,2114,169,217
58,2133,168,199
59,2141,162,197
60,2150,159,191
61,2157,147,196
62,2173,132,195
63,2176,127,197
64,2183,124,193
65,2200,123,177
66,2201,122,177
67,2219,114,167
68,2211,114,175
69,2218,113,169
70,2229,111,160
71,2228,109,163
72,2225,113,162
73,2236,104,160
74,2238,100,162
75,2245,96,159
76,2255,90,155
77,2256,92,152
78,2255,90,155
79,2251,90,159
80,2247,91,162
81,2250,94,156
82,2252,96,152
83,2247,96,157
84,2246,98,156
85,2236,99,165
86,2241,94,165
87,2231,102,167
88,2238,98,164
89,2237,100,163
90,2240,96,164
91,2248,99,153
92,2251,100,149
93,2245,105,150
94,2245,107,148
95,2250,109,141
96,2248,109,143
97,2251,105,144
98,2254,97,149
99,2252,104,144
100,2249,107,144
101,2245,108,147
102,2249,109,142
103,2253,107,140
104,2255,102,143
105,2250,105,145
106,2249,105,146
107,2252,106,142
108,2257,105,138
109,2255,103,142
110,2253,107,140
111,2246,115,139
112,2245,112,143
113,2247,111,142
114,2249,111,140
115,2256,108,136
116,2253,111,136
117,2254,111,135
118,2245,114,141
119,2236,117,147
120,2242,114,144
121,2252,107,141
122,2255,106,139
123,2252,107,141
124,2248,106,146
125,2246,107,147
126,2242,109,149
127,2240,110,150
128,2242,109,149
129,2247,107,146
130,2242,105,153
131,2236,108,156
132,2236,103,161
133,2225,111,164
134,2225,112,163
135,2235,111,154
136,2230,111,159
137,2231,111,158
138,2234,105,161
139,2229,111,160
140,2229,109,162
141,2223,111,166
142,2223,111,166
143,2221,111,168
144,2222,109,169
145,2229,105,166
146,2236,106,158
147,2233,107,160
148,2233,107,160
149,2238,109,153
150,2234,109,157
151,2232,107,161
152,2238,101,161
153,2240,101,159
154,2240,103,157
155,2240,102,158
156,2244,102,154
157,2252,102,146
158,2260,99,141
159,2276,89,135
160,2270,91,139
161,2264,88,148
162,2271,88,141
163,2265,91,144
164,2264,92,144
165,2266,88,146
166,2265,90,145
167,2269,92,139
168,2270,91,139
169,2267,93,140
170,2268,92,140
171,2266,97,137
172,2260,93,147
173,2258,100,142
174,2255,101,144
175,2254,102,144
176,2258,96,146
177,2255,95,150
178,2245,101,154
179,2255,100,145
180,2255,102,143
181,2257,106,137
182,2255,103,142
183,2255,107,138
184,2247,109,144
185,2244,111,145
186,2241,111,148
187,2237,113,150
188,2235,115,150
189,2238,112,150
190,2243,107,150
191,2245,109,146
192,2240,113,147
193,2237,119,144
194,2230,120,150
195,2229,120,151
196,2223,124,153
197,2231,124,145
198,2241,118,141
199,2230,120,150
200,2224,123,153
201,2220,123,157
202,2220,127,153
203,2219,128,153
204,2217,132,151
205,2210,132,158
206,2207,137,156
207,2203,141,156
208,2205,138,157
209,2209,141,150
210,2215,134,151
211,2214,140,146
212,2215,140,145
213,2204,142,154
214,2204,143,153
215,2200,147,153
216,2204,140,156
217,2204,144,152
218,2203,144,153
219,2208,144,148
220,2202,149,149
221,2202,150,148
222,2206,153,141
223,2200,157,143
224,2197,157,146
225,2208,151,141
226,2212,150,138
227,2208,157,135
228,2206,158,136
229,2203,156,141
230,2200,158,142
231,2201,158,141
232,2214,151,135
233,2212,151,137
234,2217,145,138
235,2219,141,140
236,2214,144,142
237,2214,140,146
238,2214,141,145
239,2211,138,151
240,2208,140,152
241,2209,135,156
242,2203,138,159
243,2205,137,158
244,2203,138,159
245,2204,138,158
246,2207,140,153
247,2208,138,154
248,2212,136,152
249,2216,133,151
250,2209,136,155
251,2204,143,153
252,2212,135,153
253,2212,132,156
254,2214,131,155
255,2203,134,163
256,2195,133,172
257,2195,134,171
258,2199,131,170
259,2198,131,171
260,2189,135,176
261,2186,139,175
262,2190,133,177
263,2193,135,172
264,2197,134,169
265,2195,138,167
266,2199,133,168
267,2189,136,175
268,2187,141,172
269,2192,142,166
270,2184,146,170
271,2178,151,171
272,2174,153,173
273,2169,160,171
274,2168,165,167
275,2167,162,171
276,2165,166,169
277,2164,170,166
278,2164,167,169
279,2153,173,174
280,2153,175,172
281,2150,177,173
282,2145,179,176
283,2148,184,168
284,2145,184,171
285,2149,185,166
286,2147,179,174
287,2138,186,176
288,2138,185,177
289,2134,186,180
290,2136,189,175
291,2137,189,174
292,2135,190,175
293,2141,186,173
294,2132,188,180
295,2131,182,187
296,2129,188,183
297,2135,185,180
298,2129,187,184
299,2128,191,181
300,2132,186,182
301,2124,192,184
302,2127,193,180
303,2134,177,189
304,2131,179,190
305,2135,180,185
306,2136,174,190
307,2135,173,192
308,2130,177,193
309,2134,174,192
310,2137,169,194
311,2138,169,193
312,2138,169,193
313,2128,179,193
314,2130,178,192
315,2138,174,188
316,2147,169,184
317,2146,174,180
318,2152,168,180
319,2155,162,183
320,2155,158,187
321,2162,150,188
322,2168,150,182
323,2163,147,190
324,2152,152,196
325,2150,145,205
326,2148,148,204
327,2148,150,202
328,2146,148,206
329,2152,144,204
330,2150,146,204
331,2144,147,209
332,2141,150,209
333,2150,145,205
334,2148,140,212
335,2159,131,210
336,2162,130,208
337,2166,128,206
338,2162,129,209
339,2160,131,209
340,2160,136,204
341,2152,133,215
342,2147,137,216
343,2161,130,209
344,2158,132,210
345,2151,129,220
346,2155,131,214
347,2153,131,216
348,2150,132,218
349,2150,134,216
350,2157,130,213
351,2161,123,216
352,2162,121,217
353,2160,123,217
354,2163,126,211
355,2160,128,212
356,2162,129,209
357,2155,131,214
358,2155,129,216
359,2156,130,214
360,2157,130,213
361,2153,132,215
362,2149,130,221
363,2151,128,221
364,2148,133,219
365,2148,132,220
366,2151,131,218
367,2150,131,219
368,2150,127,223
369,2145,129,226
370,2143,122,235
371,2147,125,228
372,2146,121,233
373,2145,118,237
374,2143,119,238
375,2147,116,237
376,2140,120,240
377,2143,125,232
378,2155,119,226
379,2151,112,237
380,2140,112,248
381,2142,111,247
382,2137,111,252
383,2131,118,251
384,2126,113,261
385,2124,113,263
386,2127,111,262
387,2134,106,260
388,2133,107,260
389,2139,110,251
390,2132,107,261
391,2126,111,263
392,2121,109,270
393,2119,114,267
394,2117,110,273
395,2117,114,269
396,2124,108,268
397,2127,100,273
398,2127,94,279
399,2134,94,272
400,2127,100,273
401,2120,101,279
402,2118,100,282
403,2123,100,277
404,2119,100,281
405,2115,98,287
406,2103,101,296
407,2109,97,294
408,2115,98,287
409,2111,99,290
410,2105,103,292
411,2102,102,296
412,2102,103,295
413,2096,104,300
414,2094,105,301
415,2094,105,301
416,2098,104,298
417,2095,109,296
418,2097,109,294
419,2101,108,291
420,2091,107,302
